CarID,city mpg,Sum of DimCar,Driven_Wheels,Engine Cylinders,Engine Fuel Type,Engine HP,highway MPG,Market Category,Make,Model,MSRP,Number of Doors,Popularity,Transmission Type,Vehicle Size,Vehicle Style,Year
1,25,1,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,35,LUXURY,ACURA,ILX,29990,4,204,AUTOMATED_MANUAL,COMPACT,SEDAN,2017
2,19,2,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,47440,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
3,18,3,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,49440,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
4,20,4,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,55230,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
5,18,5,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,50640,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
6,18,6,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,51440,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
7,18,7,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,52640,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
8,20,8,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,53230,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
9,18,9,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,45015,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
10,19,10,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,55230,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
